stid,datetime,FC,FC_QC,LE,LE_QC,ET,ET_QC,H,H_QC,TAU,TAU_QC,Bowen_ratio,USTAR,ZL,MO_LENGTH,CO2,H2O,PA,Tc,TKE,RH,T_DP,q,rho_a,WS,WS_MAX,WD,U,V,Rn,SW_IN,SW_OUT,LW_IN,LW_OUT,LWS_volt,G_HFP01_1,G_HFP01_2,G_HFP01_3,G_HFP01_4
FLUX_BELL,2023-06-05 00:00:00.000000,1.138971,7.0,21.19831,7.0,0.03105873,7.0,-10.70172,7.0,0.1044551,7.0,-0.504838,0.2965643,0.03732833,241.1037,432.5085,10.14539,99.81269,18.56896,0.8967623,46.69038,6.947328,6.175482,1.187659,2.944749,7.645581,43.19159,2.824769,0.0,-42.95136,90.29929,29.08533,295.9828,400.1481,245.8911,7.691226,6.573415,1.554599,5.958308
FLUX_BELL,2023-06-05 00:30:00.000000,2.868786,7.0,12.38268,7.0,0.01812968,7.0,-18.34824,7.0,0.07904606,7.0,-1.481766,0.2576865,0.106401,84.58571,432.3055,10.34183,99.79931,17.83436,0.3337659,49.82289,7.222897,6.412694,1.190411,1.755064,4.259542,41.04419,1.689879,0.0,-76.38358,25.04166,7.600953,294.6002,388.4245,246.1306,5.213593,4.478842,-0.2459516,4.130064
FLUX_BELL,2023-06-05 01:00:00.000000,2.35298,9.0,2.167912,9.0,0.003170769,9.0,-8.848816,9.0,0.02650123,9.0,-4.081723,0.1489405,0.2730348,32.96283,433.676,10.40575,99.78371,16.75048,0.1695414,53.69064,7.30986,6.470881,1.194648,1.157627,3.408975,37.8634,1.125019,0.0,-85.89886,-1.685352,1.415386,292.6147,375.4128,246.3925,2.733685,2.248374,-2.720757,2.634144
FLUX_BELL,2023-06-05 01:30:00.000000,2.517412,9.0,1.052658,9.0,0.001538204,9.0,-12.75763,9.0,0.0268846,9.0,-12.11944,0.1497567,0.3910302,23.01613,433.5369,10.48441,99.80186,15.80036,0.1020649,57.46124,7.421478,6.517263,1.198757,1.318823,2.865765,38.21774,1.294424,0.0,-84.28213,-3.465439,1.83585,291.4873,370.4682,246.6641,-0.3908681,-0.4896692,-6.244988,1.025107
FLUX_BELL,2023-06-05 02:00:00.000000,2.958692,9.0,2.775526,9.0,0.004053348,9.0,-14.15311,9.0,0.02172489,9.0,-5.099256,0.1344894,0.594945,15.12745,434.0253,10.5412,99.78539,15.1814,0.1239925,60.09891,7.497238,6.53467,1.201107,1.464994,3.640607,40.63895,1.441457,0.0,-84.96024,-3.467306,1.835201,289.6804,369.3381,246.8602,-3.054047,-2.83696,-7.900571,-0.6162301
FLUX_BELL,2023-06-05 02:30:00.000000,1.016643,9.0,-0.2500752,9.0,-0.0003649835,9.0,-8.175917,9.0,0.006783727,9.0,32.69383,0.07508429,2.002805,4.493697,434.5679,10.71902,99.75169,14.54241,0.1021019,63.66743,7.734383,6.566641,1.20329,1.481643,3.169962,58.82214,1.455418,0.0,-82.00088,-3.469778,1.413249,287.6945,364.8123,247.1854,-4.567919,-4.211141,-8.479243,-1.934885
FLUX_BELL,2023-06-05 03:00:00.000000,0.7057872,9.0,-0.3025585,9.0,-0.0004414015,9.0,-5.19544,9.0,0.01207929,9.0,17.17169,0.1001228,0.5376833,16.73848,434.2469,10.71824,99.74244,14.11496,0.1714956,65.41594,7.732361,6.698578,1.204967,0.6647378,2.633436,23.64175,0.5432199,0.0,-78.26833,-3.708857,2.133508,286.5891,359.0151,247.6232,-5.764751,-5.292349,-9.378988,-2.985447
FLUX_BELL,2023-06-05 03:30:00.000000,-0.7270341,8.0,3.196342,8.0,0.00466017,8.0,-5.005544,8.0,0.02953266,7.0,-1.566023,0.1563935,0.1303378,69.05136,436.7235,10.77449,99.71825,13.45156,0.5128816,68.65514,7.804271,6.66168,1.207439,1.233509,2.712469,74.48016,0.9809012,0.0,-73.85702,-1.450732,3.650999,286.5751,355.3304,247.9962,-7.568865,-6.673625,-11.85761,-3.853024
FLUX_BELL,2023-06-05 04:00:00.000000,0.05085409,9.0,0.103002,9.0,0.0001500355,9.0,0.1298758,9.0,0.006278618,7.0,1.260906,0.07199903,-0.03772871,-238.5452,442.8495,10.89228,99.696,12.48877,0.1713531,73.88766,7.959167,6.72897,1.211186,0.5403734,1.782937,58.79901,0.3075979,0.0,-72.02109,-3.502047,1.840041,284.429,351.1081,249.1004,-9.202503,-7.969261,-13.0654,-4.91441
FLUX_BELL,2023-06-05 04:30:00.000000,-1.12974,9.0,-1.93046,9.0,-0.002809657,9.0,0.7990294,9.0,0.00343312,7.0,-0.4139061,0.05316834,-0.4721737,-19.06078,446.1305,10.92957,99.66693,11.63227,0.1518877,78.4473,8.004049,6.734062,1.214459,1.174327,2.014955,84.64383,1.100019,0.0,-71.72774,-1.908137,3.148345,282.9023,349.5736,249.4196,-10.52638,-9.014028,-14.08231,-5.878478
